Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
38,Kansas City, Missouri,"491,918","459,787",+6.99%,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,314.95 sq mi (815.72 km2),4.08 sq mi (10.57 km2),UTC– 06:00 (CST),Sly James,"Kansas City International Airport was built to TWA's specifications to make a world hub. Its original passenger-friendly design placed each of its gates 100 feet (30m) from the street. Following the September 11, 2001, attacks, it required a costly overhaul to conform to the tighter security protocols. Charles B. Wheeler Downtown Airport was TWA's original headquarters and houses the Airline History Museum. It is still used for general aviation and airshows.
",http://www.kcmo.gov/,"Kansas City lies in the Midwestern United States, near the geographic center of the country, at the confluence of the Missouri and Kansas rivers. The city lies in the northern periphery of the humid subtropical zone,[31] but is interchangeable with the humid continental climate due to roughly 104 air frosts on average per annum.[32] The city is part of USDA plant hardiness zones 5b and 6a.[33] In the center of North America, far removed from a significant body of water, there is significant potential for extreme hot and cold swings throughout the year. The warmest month is July, with a 24-hour average temperature of 81°F (27.2°C). The summer months are hot and humid, with moist air riding up from the Gulf of Mexico, and high temperatures surpass 100°F (38°C) on 6 days of the year, and 90°F (32°C) on 47 days.[34][35] The coldest month of the year is January, with an average temperature of 31°F (−0.6°C). Winters are cold, with 22 days where the high temperature is at or below 32°F (0°C) and 3 nights with a low at or below 0°F (−18°C).[34] The official record highest temperature is 113°F (45°C), set on August 14, 1936 at Downtown Airport, while the official record lowest is −23°F (−31°C), set on December 22 and 23, 1989.[34] Normal seasonal snowfall is 13 inches (33cm) at Downtown Airport and 19in (48cm) at Kansas City International Airport. The average window for freezing temperatures is October 31 to April 4, while for measurable (0in or 0cm) snowfall, it is November 27 to March 16 as measured at Kansas City International Airport. Precipitation, both in frequency and total accumulation, shows a marked uptick in late spring and summer.
","/wiki/Kansas_City,_Missouri"
39,Colorado Springs, Colorado,"472,688","416,427",+13.51%,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,194.74 sq mi (504.38 km2),0.37 sq mi (0.95 km2),UTC−7 (MST),John Suthers,,http://coloradosprings.gov,"Colorado Springs has a cooler, dry-winter semi-arid climate (Köppen BSkw), and its location just east of the Rocky Mountains affords it the rapid warming influence from chinook winds during winter but also subjects it to drastic day-to-day variability in weather conditions.[36] The city has abundant sunshine year-round, averaging 243 sunny days per year,[37][38] and receives approximately 16.5 inches (419mm) of annual precipitation. Due to unusually low precipitation for several years after flooding in 1999, Colorado Springs enacted lawn water restrictions in 2002. These were lifted in 2005.[33]
","/wiki/Colorado_Springs,_Colorado"
40,Miami, Florida,"470,914","399,457",+17.89%,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",35.99 sq mi (93.20 km2),20.08 sq mi (52.00 km2),UTC−5 (Eastern (EST)),Francis X. Suarez,"Miami International Airport serves as the primary international airport of the Greater Miami Area. One of the busiest international airports in the world, Miami International Airport caters to over 35 million passengers a year. The airport is a major hub and the largest international gateway for American Airlines. Miami International is the busiest airport in Florida, the United States' second-largest international port of entry for foreign air passengers behind New York's John F. Kennedy International Airport, and the seventh-largest such gateway in the world. The airport's extensive international route network includes non-stop flights to over seventy international cities in North and South America, Europe, Asia, and the Middle East.
",http://miamigov.com,"Miami has a tropical monsoon climate (Köppen climate classification Am)[42][43] with a marked drier season in the winter. Its sea-level elevation, coastal location, position just above the Tropic of Cancer, and proximity to the Gulf Stream shape its climate. With January averaging 68.2°F (20.1°C), winter features highs generally ranging between 75–81°F (24–27°C). Cool air usually settles after the passage of a cold front, which produces much of the little amount of rainfall during the season. Lows fall below 50°F (10°C), an average of 10–15 nights during the winter season following the passage of cold fronts.
",/wiki/Miami
41,Raleigh, North Carolina,"469,298","403,892",+16.19%,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",142.8 sq mi (369 km2),2.0 sq mi (2.5 km2),UTC−05:00 (EST),Nancy McFarlane," (IATA: RDU, ICAO: KRDU, FAA LID: RDU)
",http://raleighnc.gov,"Like much of the southeastern United States, Raleigh has a humid subtropical climate (Köppen Cfa), with four distinct seasons. Winters are short and generally cool, with a January daily average of 41.0°F (5.0°C). On average, there are 69nights per year that drop to or below freezing, and only 2.7days that fail to rise above freezing.[38] Raleigh receives an average annual rainfall of 43.34 inches (110.1cm).[39] Annual and monthly (temperature and) precipitation data are in chart below. April is the driest month, with an average of 2.92 inches (74.2mm) of precipitation. Precipitation is well distributed around the year, with a slight maximum between July and September; on average, July is the wettest month, owing to generally frequent, sometimes heavy, showers and thunderstorms. Summers are hot and humid, with a daily average in July of 90.2°F (32.3°C). There are 48days per year with highs at or above 90°F (32°C).[38] Autumn is similar to spring overall but has fewer days of rainfall, but greater potential for extremely heavy rainfall in a one/two day period, owing to occasional threat from tropical weather systems (hurricanes and tropical storms) packing torrential rainfall. In September 1999, Raleigh recorded its wettest month ever, with over 21 inches of rain, due to torrential rainfall from tropical weather systems, most notably Hurricane Floyd on September 15–16. Extremes in temperature have ranged from −9°F (−23°C) on January 21, 1985 up to 105°F (41°C), most recently on July 8, 2012.","/wiki/Raleigh,_North_Carolina"
42,Omaha, Nebraska,"468,262","408,958",+14.50%,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",138.21 sq mi (357.95 km2),3.60 sq mi (9.32 km2),UTC−06:00 (CST),Jean Stothert,,http://www.cityofomaha.org,"Omaha, due to its latitude of 41.26˚ N and location far from moderating bodies of water or mountain ranges, displays a humid continental climate (Köppen Dfa). July averages 76.7°F (24.8°C), with average relative humidity around 70% which then leads to relatively frequent thunderstorms. Temperatures reach 90°F (32°C) on 29 days and 100°F (38°C) on 1.7 days annually. The January daily average is 23.5°F (−4.7°C), with lows reaching 0°F (−18°C) on 11 days annually. The lowest temperature recorded in the city was −32°F (−36°C) on January 5, 1884,[109] and the highest 114°F (46°C) on July 25, 1936.[110] Average yearly precipitation is 30.6 inches (777mm), falling mostly in the warmer months. Snow is the most common precipitation in winter, with average seasonal snowfall being 28.7 inches (73cm).
","/wiki/Omaha,_Nebraska"
43,Long Beach, California,"467,354","462,257",+1.10%,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",50.32 sq mi (130.32 km2),1.16 sq mi (3.00 km2)  2.22%,UTC−08:00 (Pacific),Robert Garcia,"Long Beach Airport serves the Long Beach, South Bay and northern Orange County areas. It is the West Coast hub for JetBlue Airways. It is also the site of a major Boeing (formerly Douglas, then McDonnell Douglas) aircraft production facility, which is the city's largest non-government employer. Los Angeles International Airport is the nearest airport with international service. John Wayne Airport in Santa Ana, California is another alternative to the airport. However, its only international services are to Canada and Mexico. Other airports with scheduled service are Bob Hope Airport in Burbank and Ontario International Airport in Ontario.
",http://www.longbeach.gov,"Long Beach, depending on the reporting location, has a Mediterranean climate, with strong semi-arid climate characteristics. In general, the city features hot summers and mild, damp winters. Days in Long Beach are mostly sunny, as in Southern California in general. Temperatures recorded at the weather station at the Long Beach Airport, 4.0 miles (6.4km) inland from the ocean, range more greatly than those along the immediate coast. During the summer months, low clouds and fog occur frequently, developing overnight and blanketing the area on many mornings. This fog usually clears by the afternoon, and a westerly sea breeze often develops, keeping temperatures mild. Heat and humidity can coincide in summer, which can cause moderate personal discomfort.[29]
","/wiki/Long_Beach,_California"
44,Virginia Beach, Virginia,"450,189","437,994",+2.78%,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,244.72 sq mi (633.83 km2),252.78 sq mi (654.68 km2),UTC−5 (EST),Bobby Dyer,,http://www.vbgov.com/,"The climate of Virginia Beach is humid subtropical (Köppen: Cfa). For the Trewartha update system the climate is the northern limit of Cf (subtropical) which corresponds to the ecology of the area, going much further north than the Köppen classification.[28][29]
","/wiki/Virginia_Beach,_Virginia"
45,Oakland, California,"429,082","390,724",+9.82%,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",55.89 sq mi (144.76 km2),21.97 sq mi (56.90 km2)  28.48%,UTC−08:00 (Pacific),Libby Schaaf,,http://www2.oaklandnet.com/government/o/CityAdministration/d/economic-workforce-development/o/cultural-affairs/DOWD000366,,"/wiki/Oakland,_California"
46,Minneapolis, Minnesota,"425,403","382,578",+11.19%,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",54.00 sq mi (139.86 km2),3.49 sq mi (9.03 km2),UTC–6 (CST),Jacob Frey,,http://www.minneapolismn.gov,"Minneapolis experiences a hot-summer humid continental climate (Dfa in the Köppen climate classification),[48] typical of southern parts of the Upper Midwest, and is situated in USDA plant hardiness zone 4b, with small enclaves of the city classified as being zone 5a.[49][50][51] The city features very cold, snowy winters and humid, warm to hot summers. As is typical in a continental climate, the difference between average temperatures in the coldest winter month and the warmest summer month is great: 60.1°F (33.4°C). The climate can be compared to Moscow in precipitation and temperature, although that summer is warmer in the Twin Cities.[52]
",/wiki/Minneapolis
47,Tulsa, Oklahoma,"400,669","391,906",+2.24%,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,192.7 sq mi (483.1 km2),4.2 sq mi (10.9 km2),UTC−6 (CST),G. T. Bynum,"The Tulsa International Airport, which is home to nine commercial airlines, serves more than three million travelers annually, with almost 80 departures every day.[101] In 2007, the airport completed most of an expansion project, which included larger terminal sizes and the addition of restaurants and shops. In 2011, the airport opened the newly-renovated Concourse B, complete with skylights, open gate holds, an average of 76 ways to charge a device per gate, and much more. Concourse A is under renovation.[101] Richard L. Jones, Jr. Airport, a/k/a Jones-Riverside Airport, a general aviation airport in West Tulsa, saw 335,826 takeoffs and landings in 2008, making it the busiest airport in Oklahoma and the fifth-busiest general aviation airport in the nation.[217] Its operations contribute over $3.2 million to the economy annually.[217]  The Tulsa Airports Improvement Trust also manages the Okmulgee Regional Airport in Okmulgee, Oklahoma, further to the south of Tulsa.[218][219]
",http://www.cityoftulsa.org/,"Tulsa has a temperate climate of the humid subtropical variety (Köppen Cfa) with a yearly average temperature of 57°F (14°C) and an average precipitation of just over 40 inches per year. Average monthly precipitation is lowest from December to February, and peaks dramatically in May, which averages 5.9 inches of rainfall. Early June can still be wet, but late June through the end of August is frequently dry. On average, Tulsa experiences a secondary rainfall peak in September and early October. As is typical of temperate zones, weather patterns vary by season with occasional extremes in temperature and rainfall.[59]
","/wiki/Tulsa,_Oklahoma"
48,Arlington, Texas,"398,112","365,438",+8.94%,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",96.5 sq mi (249.9 km2),3.2 sq mi (8.3 km2),UTC−6 (CST),Jeff Williams,,http://www.ArlingtonTX.gov,"Arlington falls in the Cfa (humid subtropical) region of the Köppen climate classification system which is a climate zone characterized by hot, humid summers and mild to cool winters.[12]
","/wiki/Arlington,_Texas"
49,Tampa, Florida,"392,890","335,709",+17.03%,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",113.42 sq mi (293.75 km2),61.80 sq mi (160.06 km2)  35.3%,UTC−5 (EST),Jane Castor,"Tampa is served by three airports (one in Tampa, two in the metro area) that provide significant scheduled passenger air service:
",http://www.tampagov.net,,"/wiki/Tampa,_Florida"
50,New Orleans, Louisiana,"391,006","343,829",+13.72%,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,169.42 sq mi (438.80 km2),180.43 sq mi (467.30 km2),UTC−6 (CST),LaToya Cantrell,"The metropolitan area is served by the Louis Armstrong New Orleans International Airport, located in the suburb of Kenner. Regional airports include the Lakefront Airport, Naval Air Station Joint Reserve Base New Orleans (Callender Field) in the suburb of Belle Chasse and Southern Seaplane Airport, also located in Belle Chasse. Southern Seaplane has a 3,200-foot (980m) runway for wheeled planes and a 5,000-foot (1,500m) water runway for seaplanes. New Orleans International suffered some damage from Katrina, but as of April 2007, it was the busiest airport in Louisiana and the sixth busiest in the Southeast. As of 2017, the airport handled more than 11 million passengers, serving more than 57 destinations. The airport's international service includes nonstop flights to the United Kingdom, Germany, Canada, Mexico, Honduras, Bahamas and Dominican Republic.
",http://www.nola.gov,"The climate is humid subtropical (Köppen: Cfa), with short, generally mild winters and hot, humid summers; most suburbs and parts of Wards 9 and 15 fall in USDA Plant Hardiness Zone 9a, while the city's other 15 wards are rated 9b in whole.[78] The monthly daily average temperature ranges from 53.4°F (11.9°C) in January to 83.3°F (28.5°C) in July and August. Officially, as measured at New Orleans International Airport, temperature records range from 11 to 102°F (−12 to 39°C) on December 23, 1989 and August 22, 1980, respectively; Audubon Park has recorded temperatures ranging from 6°F (−14°C) on February 13, 1899 up to 104°F (40°C) on June 24, 2009.[75] Dewpoints in the summer months (June–August) are relatively high, ranging from 71.1 to 73.4°F (21.7 to 23.0°C).[77]
",/wiki/New_Orleans
51,Wichita, Kansas,"389,255","382,368",+1.80%,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,159.29 sq mi (412.56 km2),4.30 sq mi (11.14 km2),UTC−6 (CST),Jeff Longwell,"The Wichita Airport Authority manages the city's two main public airports, Wichita Dwight D. Eisenhower National Airport and Colonel James Jabara Airport.[215] Located in the western part of the city, Wichita Dwight D. Eisenhower National Airport is the city's primary airport as well as the largest airport in the state of Kansas.[59][215] Six commercial airlines (Alaska, Allegiant, American, Delta, Southwest & United) serve Wichita Dwight D. Eisenhower National Airport with non-stop flights to several U.S. airline hubs.[216]  Jabara Airport is a general aviation facility located on the city's northeast side.[217] In addition, there are several privately owned airports located throughout the city. Cessna Aircraft Field and Beech Factory Airport, operated by manufacturers Cessna and Beechcraft, respectively, lie in east Wichita.[218][219] Two smaller airports, Riverside Airport and Westport Airport, are located in west Wichita.[220][221]
",http://www.wichita.gov/,"Wichita lies in the northern limits of North America's humid subtropical climate zone (Köppen Cfa), typically experiencing hot, humid summers and cold, dry winters.[61] Located on the Great Plains, far from any large moderating influences such as mountains or large bodies of water, Wichita often experiences severe weather with thunderstorms occurring frequently during the spring and summer months. These occasionally bring large hail as well as frequent lightning. Particularly destructive ones have struck the Wichita area several times in the course of its history: in September 1965; during the Andover, Kansas Tornado Outbreak of April 1991; and during the Oklahoma tornado outbreak of May 1999.[62][63][64] Winters are cold and dry; since Wichita is roughly midway between Canada and the Gulf of Mexico, cold spells and warm spells are equally frequent. Warm air masses from the Gulf of Mexico can raise midwinter temperatures into the 50s and even 60s while cold air masses from the Arctic can occasionally plunge the temperature below 0°F. Wind speed in the city averages 13mph (21km/h).[65] On average, January is the coldest month (and the driest), July the hottest, and June the wettest.[66]
","/wiki/Wichita,_Kansas"
52,Cleveland, Ohio,"383,793","396,815",−3.28%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",77.70 sq mi (201.24 km2),4.77 sq mi (12.35 km2),UTC−5 (EST),Frank G. Jackson,"Cleveland Hopkins International Airport is the city's major airport and an international airport that served as a main hub for United Airlines. It holds the distinction of having the first airport-to-downtown rapid transit connection in North America, established in 1968. In 1930, the airport was the site of the first airfield lighting system and the first air traffic control tower. Originally known as Cleveland Municipal Airport, it was the first municipally owned airport in the country. Cleveland Hopkins is a significant regional air freight hub hosting FedEx Express, UPS Airlines, United States Postal Service, and major commercial freight carriers.
In addition to Hopkins, Cleveland is served by Burke Lakefront Airport, on the north shore of downtown between Lake Erie and the Shoreway. Burke is primarily a commuter and business airport.[194]
",http://www.cleveland-oh.gov,"Typical of the Great Lakes region, Cleveland exhibits a continental climate with four distinct seasons, which lies in the humid continental (Köppen Dfa)[52] zone. Summers are warm and humid while winters are cold and snowy. The Lake Erie shoreline is very close to due east–west from the mouth of the Cuyahoga west to Sandusky, but at the mouth of the Cuyahoga it turns sharply northeast. This feature is the principal contributor to the lake effect snow that is typical in Cleveland (especially on the city's East Side) from mid-November until the surface of Lake Erie freezes, usually in late January or early February. The lake effect also causes a relative differential in geographical snowfall totals across the city: while Hopkins Airport, on the city's far West Side, has only reached 100 inches (254cm) of snowfall in a season three times since record-keeping for snow began in 1893,[53] seasonal totals approaching or exceeding 100 inches (254cm) are not uncommon as the city ascends into the Heights on the east, where the region known as the 'Snow Belt' begins. Extending from the city's East Side and its suburbs, the Snow Belt reaches up the Lake Erie shore as far as Buffalo.[54]
",/wiki/Cleveland
53,Bakersfield, California,"383,579","347,483",+10.39%,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,149.73 sq mi (387.80 km2),1.47 sq mi (3.81 km2)  0.97%,UTC−8 (Pacific),Karen K. Goh,,http://www.bakersfieldcity.us/,"Although the region hosts abundant  vegetation due to the hydrology of the Tulare Basin, Bakersfield has a hot desert climate (Köppen BWh),[41] with long, hot, dry summers, and brief, cool, slightly moist winters. Bakersfield enjoys more clear days than the majority of the U.S. (averaging 191 days a year).[42] Bakersfield's long summers gives the region a climate suitable for growing a variety of crops (ranging from carrots to citrus, almonds, and pistachios). Rainfall is low in the city, however, averaging only 6.5in or 165mm annually, mostly falling during winter and spring.
","/wiki/Bakersfield,_California"
54,Aurora, Colorado,"374,114","325,078",+15.08%,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,153.52 sq mi (397.62 km2),0.67 sq mi (1.73 km2),UTC−7 (MST),Bob LeGare,,http://auroragov.org,"Aurora experiences a semi-arid climate (Köppen climate classification BSk), with four distinct seasons and modest precipitation year-round.  Summers range from mild to hot, with generally low humidity and frequent afternoon thunderstorms, and Aurora also averages about one dozen tornado warnings throughout tornado season, running from April–July. Although a touchdown does occur every couple of years, tornadoes are typically weak and short lived, but there is a long history of dangerous and devastating tornadoes. Aurora residents typically hear the tornado sirens go off numerous times more than residents in Denver, to the West. All of Aurora is located east of I-25, where tornado alley begins. Hailstorms, at times 1–2'+ deep happen on occasion, and typical hailstorms are very common throughout these months.[24] July is the warmest month of the year, with an average high of 89°F (32°C) and an average low of 57°F (14°C).  Winters range from mild to occasional bitter cold, with periods of sunshine alternating with periods of snow, high winds and very low temperatures.  December is the coldest month of the year, with an average high of 43°F (6°C) and an average low of 17°F (−8°C).  The average first snowfall in the Aurora area occurs in late October and the average final snowfall occurs in late April, although snow has fallen as early as September 4 and as late as June 5.  Generally, deciduous trees in the area are bare from mid October to late April.
","/wiki/Aurora,_Colorado"
55,Anaheim, California,"352,005","336,265",+4.68%,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",50.32 sq mi (130.33 km2),0.60 sq mi (1.57 km2)  1.92%,UTC−8 (Pacific),Harry Sidhu,,http://www.anaheim.net,"Like many other South Coast cities, Anaheim maintains a Subtropical Mediterranean climate Csa, enjoying warm winters and hot summers.[41]
","/wiki/Anaheim,_California"
56,Honolulu, Hawaii,"347,397","337,256",+3.01%,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",60.5 sq mi (156.7 km2),7.9 sq mi (20.5 km2),UTC−10 (Hawaiian (HST)),Kirk Caldwell,"Located at the western end of the CDP, Daniel K. Inouye International Airport (HNL) is the principal aviation gateway to the state of Hawaiʻi. Kalaeloa Airport is primarily a commuter facility used by unscheduled air taxis, general aviation and transient and locally based military aircraft.
",http://www.honolulu.gov/,"Honolulu experiences a Tropical (Köppen classification BSh), with a mostly dry summer season, due to a rain shadow effect.[30]
Temperatures vary little throughout the months, with average high temperatures of 80–90°F (27–32°C) and average lows of 65–75°F (18–24°C) throughout the year. Temperatures reach or exceed 90°F (32°C) on an average 38 days annually,[31] with lows in the upper 50s °F (14–15°C) occurring once or twice a year. The highest recorded temperature was 95°F (35°C) during a heat wave in September 1994. The highest recorded temperature in the state was also recorded later that day in Niʻihau. The lowest recorded temperature was 52°F (11°C) on February 16, 1902, and January 20, 1969. With high temperatures and humidity, there is a vast tropical influence on the climate, although rainfall falls short of that classification.
",/wiki/Honolulu
57,Santa Ana, California,"332,725","324,528",+2.53%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",27.15 sq mi (70.31 km2),0.25 sq mi (0.64 km2)  0.90%,UTC−8 (Pacific),Miguel A. Pulido,,http://www.santa-ana.org,"Santa Ana experiences a hot semi-arid climate (Köppen: BSh), with hot, dry summers and mild winters with moderate rainfall.[26] The summer months of June to September average a daytime high of 83°F (28.3°C) and a nighttime low of 63°F (17.2°C). The winter months of December to March average a daytimehigh of 70°F (21.1°C) and a nighttime low of 48°F (8.9°C). Rainfall averages about 13.6in (345mm) per year, most of which falls from November through April. There are an average of 36 days with measurable precipitation annually.
","/wiki/Santa_Ana,_California"
58,Riverside, California,"330,063","303,871",+8.62%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",81.23 sq mi (210.38 km2),0.31 sq mi (0.80 km2)  0.37%,UTC−8 (Pacific),City manager,"The nearest airport for commercial airline service is Ontario International Airport in Ontario, California. The Riverside Municipal Airport is an airport within Riverside's city limits, but does not have commercial airline service. It is primarily used for private aviation, and is also the location for the annual Riverside Air Show.
",http://riversideca.gov,"Riverside experiences a Mediterranean Csa influenced semi-arid (Köppen climate classification BSh) climate with hot, dry summers and mild, relatively wet winters. Normal monthly mean temperatures range from 54.5°F (12.5°C) in December to 79.4°F (26.3°C) in August.[32] On average, temperatures reach the freezing mark and 100°F (38°C) on 2.5 and 14.6days annually, respectively.[32] Record temperatures range from 18°F (−8°C) on January 15, 1911, up to 118°F (48°C) on July 17, 1925, June 16, 1917, and July 6, 2018.[33] On average, Riverside receives 10.33in (262mm) of precipitation annually, with measurable precipitation occurring on 30days, with most of it occurring in the winter and early spring, especially January through March, with February the wettest month.[34]
","/wiki/Riverside,_California"
59,Corpus Christi, Texas,"326,554","305,215",+6.99%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,174.6 sq mi (452 km2),329.0 sq mi (852 km2),UTC−6 (CST),Joe McComb,,http://www.cctexas.com,"The city has a humid subtropical climate, with hot, very humid summers and very short, mild winters. In November through February, the weather is the coolest. A noticeable warming trend occurs in March through April. The warmest part of the year is June through September, with August being the peak of summer. October in the city is very warm, but not as hot as the summer. Corpus Christi is very windy, with wind speeds often reaching to 25 miles per hour (40km/h; 11m/s) with gusts reaching more than 35 miles per hour (56km/h; 16m/s). The city’s record high temperature is 109°F (42.8°C), on September 5, 2000, and the hottest month August 2012 with an average of 88.3°F (31.3°C). Average night-time winter lows in January, the coldest month, are a little less than 50°F (10.0°C) and its record low is 11°F (−11.7°C) on February 12, 1899, and the coldest maximum 26°F (−3.3°C) on five occasions, the most recent being on January 30, 1951.[nb 1] Winter and early spring are generally dry, and average monthly precipitation is highest in September, when the threat from hurricanes and other tropical weather systems is greatest. The coolest month on record has been February 1905, with a mean of 45.6°F (7.6°C). In December 2004, the city experienced snowfall on Christmas Eve, the city’s largest recorded snowstorm at 4.4 inches (11.18cm). The snow melted the day after Christmas. Because of the uniqueness of the event, three separate books document the event, Snow, More Snow, and More Snow for Kids, all with the theme of the South Texas Christmas miracle.[19] The city experienced light snowfall a second time, on December 8, 2017, nearly 13 years later.
","/wiki/Corpus_Christi,_Texas"
60,Lexington, Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,284.5 sq mi (736.9 km2),1.0 sq mi (2.6 km2),UTC−5 (EST),Linda Gorton,"Blue Grass Airport is Lexington's primary commercial airport. It provides about 13 nonstop flights and a total of 86 flights daily from its two runways. Four major airlines operate connection service at Blue Grass, including Allegiant Air, American Eagle, Delta Air Lines, and United Express.
",http://www.lexingtonky.gov,"Lexington is in the northern periphery of the humid subtropical climate zone,[16] with hot, humid summers, and moderately cold winters with occasional mild periods; it falls in USDA hardiness zone 6b.[17] The city and the surrounding Bluegrass region have four distinct seasons that include cool plateau breezes, moderate nights in the summer, and no prolonged periods of heat, cold, rain, wind, or snow. The monthly daily average temperature ranges from 32.9°F (0.5°C) in January to 76.2°F (24.6°C) in July, while the annual mean temperature is 55.5°F (13.1°C).[18] On average,  23days of 90°F (32°C)+ highs occur annually and 19days per winter where the high fails to rise above freezing occur.[18] Annual precipitation is 45.1 inches (1,150mm), with the late spring and summer being slightly wetter; snowfall averages 13.0 inches (33cm) per season.[19] Extreme temperatures range from −21°F (−29°C) on January 24, 1963, to 108°F (42°C) on July 10 and 15, 1936.[18]
","/wiki/Lexington,_Kentucky"
61,Stockton, California,"311,178","291,707",+6.67%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",61.67 sq mi (159.72 km2),3.08 sq mi (7.98 km2)  4.76%,UTC−8 (Pacific),Michael Tubbs,"Stockton is served by Stockton Metropolitan Airport, located on county land just south of city limits. The airport has been designated a Foreign Trade Zone and is mainly used by manufacturing and agricultural companies for shipping purposes. Since airline deregulation, passenger service has come and gone several times. Domestic service resumed on June 16, 2006, with service to Las Vegas by Allegiant Air.[121] The days of service/number of flights were expanded a few months later due to demand. Air service to Phoenix began in September 2007.
",http://www.stocktongov.com,"Stockton has a hot-summer Mediterranean climate (Köppen: Csa), with hot, dry summers and mild winters. In an average year, about eighty percent of the 13.8 inches or 350.5 millimetres of precipitation falls from October through April. Located in the Central Valley, the temperatures range is much greater than in the nearby Bay Area. Tule fog blankets the area during some winter days. Stockton lies in the fertile heart of the California Mediterranean climate prairie delta, about equidistant from the Pacific Ocean and the Sierra Nevada.[citation needed] The intermediate climate between the coast and the central valley gives a similar climate to Badajoz, Spain.[53]
","/wiki/Stockton,_California"
62,Henderson, Nevada,"310,390","257,729",+20.43%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",107.7 sq mi (279.0 km2),0.0 sq mi (0.0 km2),UTC−8 (PST),Debra March,,http://www.cityofhenderson.com,"Henderson is classified as having a hot desert climate (BWh) in the Köppen climate classification. It has mild winters and extremely hot summers. Snow can occasionally fall in the winter. The monsoon can bring storms in the summer, which can cause flash flooding and thunderstorms. The hottest month is July and the coldest month is December. On average there are 292 clear days per year.[9]
","/wiki/Henderson,_Nevada"
63,Saint Paul, Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",51.97 sq mi (134.61 km2),4.20 sq mi (10.88 km2),UTC−6 (CST),Melvin Carter,"Saint Paul is served by the Minneapolis–Saint Paul International Airport (MSP), which sits on 3,400 acres (14km2)[147] southwest of the city on the west side of the Mississippi River between Minnesota State Highway 5, Interstate 494, Minnesota State Highway 77, and Minnesota State Highway 62. The airport serves three international, twelve domestic, seven charter, and four regional carriers[148] and is a hub and home base for Delta Air Lines, Mesaba Airlines and Sun Country Airlines.[149] Saint Paul is also served by the St. Paul Downtown Airport located just south of downtown, across the Mississippi River. The airport, also known as Holman Field, is a reliever airport run by the Metropolitan Airports Commission. The airport houses Minnesota's Air National Guard and is tailored to local corporate aviation.[150] There are three runways that serve about 100 resident aircraft and a flight training school. The Holman Field Administration Building and Riverside Hangar are on the National Register of Historic Places.[150]
",http://www.stpaul.gov/,"Saint Paul has a continental climate typical of the Upper Midwestern United States. Winters are frigid and snowy, while summers are warm to hot and humid. On the Köppen climate classification, Saint Paul falls in the hot summer humid continental climate zone (Dfa). The city experiences a full range of precipitation and related weather events, including snow, sleet, ice, rain, thunderstorms, tornadoes, and fog.[45]
","/wiki/Saint_Paul,_Minnesota"
